初恋这件小事,"导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010&nbsp;/&nbsp;泰国&nbsp;/&nbsp;剧情 喜剧 爱情
                        </p>

                        
                        <div>
                            <span class=""rating45-t""></span>
                            <span class=""rating_num"" property=""v:average"">8.5</span>
                            <span property=""v:best"" content=""10.0""></span>
                            <span>1040409人评价</span>
                        </div>

                            <p class=""quote"">
                                <span>黑小鸭速效美白记。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em>222</em>
                    <a href=""https://movie.douban.com/subject/1292287/"">
                        <img width=""100"" alt=""新龙门客栈"" src=""https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg"">
                    </a>
                </div>
                <div class=""info"">
                    <div class=""hd"">
                        <a href=""https://movie.douban.com/subject/1292287/"">
                            <span class=""title"">新龙门客栈</span>
                                    <span class=""title"">&nbsp;/&nbsp;新龍門客棧</span>
                                <span class=""other"">&nbsp;/&nbsp;New Dragon Gate Inn</span>
                        </a>


                            <span class=""playable"">[可播放]</span>
                    </div>
                    <div class=""bd"">
                        <p>
                            导演: 李惠民 Raymond Lee",1992
大红灯笼高高挂,导演: 张艺谋 Yimou Zhang,1991
雨人,导演: 巴瑞·莱文森 Barry Levinson,1988
人工智能,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2001
崖上的波妞,导演: 宫崎骏 Hayao Miyazaki,2008
虎口脱险,导演: 杰拉尔·乌里 Gérard Oury,1966
千钧一发,导演: 安德鲁·尼科尔 Andrew Niccol,1997
真爱至上,导演: 理查德·柯蒂斯 Richard Curtis,2003
罗生门,导演: 黑泽明 Akira Kurosawa,1950
恋恋笔记本,导演: 尼克·卡索维茨 Nick Cassavetes,2004
哈利·波特与凤凰社,导演: 大卫·叶茨 David Yates,2007
彗星来的那一夜,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,2013
海边的曼彻斯特,导演: 肯尼斯·罗纳根 Kenneth Lonergan,2016
火星救援,导演: 雷德利·斯科特 Ridley Scott,2015
黑客帝国2：重装上阵,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003
奇迹男孩,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,2017
萤火虫之墓,导演: 高畑勋 Isao Takahata,1988
千年女优,导演: 今敏 Satoshi Kon,2001
战争之王,导演: 安德鲁·尼科尔 Andrew Niccol,2005
步履不停,导演: 是枝裕和 Hirokazu Koreeda,2008
谍影重重2,导演: 保罗·格林格拉斯 Paul Greengrass,2004
攻壳机动队,导演: 押井守 Mamoru Oshii,1995
蜘蛛侠：平行宇宙,导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,2018
血钻,导演: 爱德华·兹威克 Edward Zwick,2006
冰雪奇缘,导演: 克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,2013
魂断蓝桥,导演: 茂文·勒鲁瓦 Mervyn LeRoy,1940
房间,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,2015
隐藏人物,导演: 特奥多尔·梅尔菲 Theodore Melfi,2016
谍影重重,导演: 道格·里曼 Doug Liman,2002
